Donating Big Donations To Twitch Streamers!!!,"26,096,586 views","534,036 likes","65,988 dislikes",https://www.youtube.com/watch?v=nRkwuTOESCc
"Can 10,000 Condoms Stop A Bullet?","6,394,427 views","177,904 likes","9,172 dislikes",https://www.youtube.com/watch?v=MZatl6kUZpw
"I Donated $30,000 To A Random Twitch Streamer (world record)","29,654,579 views","967,788 likes","18,916 dislikes",https://www.youtube.com/watch?v=g2rbhIB-ITM
We Delivered 100 Pizzas To Random Houses,"8,207,305 views","196,611 likes","4,603 dislikes",https://www.youtube.com/watch?v=CvMRiR4k49Y
I Bought An Expensive Car Using Only $1 Bills,"29,662,406 views","809,105 likes","17,800 dislikes",https://www.youtube.com/watch?v=l_huIWJBhJM
How Many Balloons Does It Take To Float?,"15,428,223 views","333,822 likes","18,929 dislikes",https://www.youtube.com/watch?v=8bYzXI7bb8k
I Bought One Snickers Bar From Every Walmart,"29,636,861 views","711,282 likes","20,642 dislikes",https://www.youtube.com/watch?v=sirrTXiPFmw
I Can't Believe I Found This Stuff On Amazon..,"20,719,551 views","725,938 likes","19,101 dislikes",https://www.youtube.com/watch?v=AS6WMS_Bemg
I Bought The World's Most Expensive Apps ($10k),"19,791,336 views","509,859 likes","25,994 dislikes",https://www.youtube.com/watch?v=7ALCsEyn3mg
Life Hacks You Need To Know,"5,662,692 views","140,892 likes","6,039 dislikes",https://www.youtube.com/watch?v=BMZP4CtphaU
i'm really sorry,"3,151,396 views","103,343 likes","4,171 dislikes",https://www.youtube.com/watch?v=5PCxQSMOl3o
I Bought An Abandoned Storage Unit And Found This..,"28,730,181 views","419,778 likes","41,845 dislikes",https://www.youtube.com/watch?v=yUXIx2l8kko
"Can 100,000 Pieces Of Paper Stop A Bullet?","24,781,465 views","468,042 likes","57,595 dislikes",https://www.youtube.com/watch?v=ln9aLVd__8w
"2,256 Miles In One Uber Ride (World Record)","33,635,211 views","817,163 likes","24,318 dislikes",https://www.youtube.com/watch?v=YR6Wh2Zy9jE
"Saying ""Keep Net Neutrality"" For 10 Hours","1,735,205 views","67,817 likes","3,441 dislikes",https://www.youtube.com/watch?v=wMn8d7IeCYM
Hi Me In Two Years (Made Two Years Ago),"12,634,124 views","577,407 likes","5,080 dislikes",https://www.youtube.com/watch?v=5qzAVMe_SnM
What Can You Cut With Paper?,"16,940,227 views","417,929 likes","13,729 dislikes",https://www.youtube.com/watch?v=N1KsSUG4Uoc
I Cant Believe What Was In This Abandoned Storage Unit..,"17,740,551 views","625,981 likes","18,423 dislikes",https://www.youtube.com/watch?v=KEVpKoY85CI
"Giving My Mom $100,000 (Proudest Day Of My Life)","20,394,445 views","926,140 likes","11,568 dislikes",https://www.youtube.com/watch?v=93s1JECSy60
"Tipping Uber Drivers $10,000","4,116,349 views","106,556 likes","1,414 dislikes",https://www.youtube.com/watch?v=zAAXW7ySu1k
